2021-01-30/15:49:18		 wafer_13012020_090817.csv: File Transformed successfully!!
2021-01-30/15:49:19		 wafer_16012020_051629.csv: File Transformed successfully!!
2021-01-30/15:49:19		 wafer_20022020_090716.csv: File Transformed successfully!!
2021-01-30/15:49:20		 wafer_21012020_080913.csv: File Transformed successfully!!
2021-01-30/15:49:20		 wafer_23012020_041211.csv: File Transformed successfully!!
2021-01-30/15:49:20		 wafer_27012020_080911.csv: File Transformed successfully!!
2021-01-30/15:49:21		 wafer_28012020_090817.csv: File Transformed successfully!!
2021-01-30/15:49:21		 wafer_28042020_031911.csv: File Transformed successfully!!
2021-01-30/15:49:21		 wafer_29012020_050617.csv: File Transformed successfully!!
2021-01-30/16:37:17		 wafer_13012020_090817.csv: File Transformed successfully!!
2021-01-30/16:37:18		 wafer_16012020_051629.csv: File Transformed successfully!!
2021-01-30/16:37:18		 wafer_20022020_090716.csv: File Transformed successfully!!
2021-01-30/16:37:18		 wafer_21012020_080913.csv: File Transformed successfully!!
2021-01-30/16:37:19		 wafer_23012020_041211.csv: File Transformed successfully!!
2021-01-30/16:37:19		 wafer_27012020_080911.csv: File Transformed successfully!!
2021-01-30/16:37:20		 wafer_28012020_090817.csv: File Transformed successfully!!
2021-01-30/16:37:20		 wafer_28042020_031911.csv: File Transformed successfully!!
2021-01-30/16:37:21		 wafer_29012020_050617.csv: File Transformed successfully!!
2021-03-17/17:35:14		 wafer_13012020_090817.csv: File Transformed successfully!!
2021-03-17/17:35:15		 wafer_16012020_051629.csv: File Transformed successfully!!
2021-03-17/17:35:16		 wafer_20022020_090716.csv: File Transformed successfully!!
2021-03-17/17:35:16		 wafer_21012020_080913.csv: File Transformed successfully!!
2021-03-17/17:35:16		 wafer_23012020_041211.csv: File Transformed successfully!!
2021-03-17/17:35:17		 wafer_27012020_080911.csv: File Transformed successfully!!
2021-03-17/17:35:17		 wafer_28012020_090817.csv: File Transformed successfully!!
2021-03-17/17:35:18		 wafer_28042020_031911.csv: File Transformed successfully!!
2021-03-17/17:35:18		 wafer_29012020_050617.csv: File Transformed successfully!!
2021-03-17/18:00:14		 wafer_13012020_090817.csv: File Transformed successfully!!
2021-03-17/18:00:15		 wafer_16012020_051629.csv: File Transformed successfully!!
2021-03-17/18:00:15		 wafer_20022020_090716.csv: File Transformed successfully!!
2021-03-17/18:00:16		 wafer_21012020_080913.csv: File Transformed successfully!!
2021-03-17/18:00:17		 wafer_23012020_041211.csv: File Transformed successfully!!
2021-03-17/18:00:17		 wafer_27012020_080911.csv: File Transformed successfully!!
2021-03-17/18:00:18		 wafer_28012020_090817.csv: File Transformed successfully!!
2021-03-17/18:00:19		 wafer_28042020_031911.csv: File Transformed successfully!!
2021-03-17/18:00:19		 wafer_29012020_050617.csv: File Transformed successfully!!
2021-03-17/18:04:25		 wafer_13012020_090817.csv: File Transformed successfully!!
2021-03-17/18:04:25		 wafer_16012020_051629.csv: File Transformed successfully!!
2021-03-17/18:04:25		 wafer_20022020_090716.csv: File Transformed successfully!!
2021-03-17/18:04:26		 wafer_21012020_080913.csv: File Transformed successfully!!
2021-03-17/18:04:27		 wafer_23012020_041211.csv: File Transformed successfully!!
2021-03-17/18:04:27		 wafer_27012020_080911.csv: File Transformed successfully!!
2021-03-17/18:04:27		 wafer_28012020_090817.csv: File Transformed successfully!!
2021-03-17/18:04:28		 wafer_28042020_031911.csv: File Transformed successfully!!
2021-03-17/18:04:28		 wafer_29012020_050617.csv: File Transformed successfully!!
